input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,2,1H,24,1.414285714285714,"['y_lead_1', 'y_lead_2']",0.5740921195762649,0,2,42,17.143495559692383,2585.295166015625,15.177415125072002,2391710.25,246.6960906982422,inf,0.1701831519603729,158378.875,0.1073405519127845,256.7550964355469,1530.2320620000828
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.0,[],0.0,0,0,46,0.9475321769714355,281.0498352050781,15.63000954198651,3093941.25,286.6930847167969,inf,0.209976851940155,15460788.0,0.1082804724574089,472.8097229003906,1588.1963581671007
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,3,1H,24,0.7071428571428571,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.8131887100854838,0,3,42,9.637869834899902,1501.9130859375,14.555290375137702,14446439.0,636.37353515625,inf,0.3136652410030365,612827.75,0.263814628124237,658.6657104492188,1073.246401750017
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,0.4714285714285714,['y_lead_1'],0.9023272720696456,0,1,42,4.993372917175293,754.9113159179688,13.281773541122677,3058212.0,275.38702392578125,inf,0.1788604408502578,88399.2421875,0.1303803622722625,275.38702392578125,975.7619139999152
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.9428571428571428,"['y_lead_1', 'y_lead_2']",0.723871674827299,0,2,42,11.398056030273438,1742.6353759765625,13.776498584076762,3556034.75,316.9316711425781,inf,0.2276592552661895,17091492.0,0.1195385232567787,502.84423828125,979.7775802088436
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.7071428571428571,"['y_lead_1', 'y_lead_2']",0.8131887100854838,0,2,42,8.676467895507812,1335.9193115234375,14.307313750032336,3621638.0,313.39501953125,inf,0.2235335111618042,16900768.0,0.1182045862078666,498.67193603515625,980.9913896247745
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,2,1H,24,0.0,"['y_lead_1', 'y_lead_2']",0.999999999999639,0,2,42,0.573972225189209,242.0218505859375,13.887630000011995,82718.75,49.96483612060547,inf,0.0670786798000335,32077.423828125,0.0217403285205364,53.61221694946289,1473.3107368329074
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.2357142857142857,['y_lead_1'],0.9725757776063404,0,1,42,2.7570743560791016,483.5830383300781,14.19113470800221,2891990.75,286.3406982421875,inf,0.2155928015708923,15441780.0,0.1080876141786575,463.06103515625,1472.3616882499773
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,1.1785714285714286,['y_lead_1'],0.6433551495047093,0,1,42,11.23336124420166,1695.04833984375,16.52724725008011,3168737.5,301.2320861816406,inf,0.2215506136417389,16244841.0,0.1137087941169738,483.9491271972656,933.3200169592164
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,2,1H,24,1.65,"['y_lead_1', 'y_lead_2']",0.5155699714169586,0,2,42,19.935096740722656,3001.8671875,16.369631916983053,3276895.0,276.74810791015625,inf,0.1793992519378662,177672.28125,0.1204165816307067,287.6063232421875,1825.1892829171848
