input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.4285714285714286,['y_lead_1'],0.6483279278893316,0,1,42,1.6388455629348757,1.9221829175949097,5.799666333943605,2.1430323123931885,0.8988767266273499,inf,0.0944835022091865,6198.6533203125,0.2146842032670974,1.1188850402832031,251.97773700021207
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.5142857142857142,"['y_lead_1', 'y_lead_2']",0.5787754959386153,0,2,42,2.4564456939697266,2.63010048866272,5.892218374880031,2.1333510875701904,0.8769945502281189,inf,0.0909712985157966,6047.7548828125,0.2118277996778488,1.094791293144226,429.7316557909362
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.5142857142857142,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.5787754959386153,0,3,42,2.750205039978028,2.869224071502685,5.17133704200387,0.922269344329834,0.6361797451972961,0.0688161849975586,0.0658912733197212,1645.160888671875,0.1577149331569671,0.7211369276046753,349.41773624997586
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.4285714285714286,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.6483279278893316,0,3,42,2.259349822998047,2.384461641311645,5.174572250107303,0.9180211424827576,0.6324987411499023,0.0684281140565872,0.0653304979205131,1635.641845703125,0.1568023860454559,0.7174655795097351,374.47486429219134
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.4285714285714286,"['y_lead_1', 'y_lead_2']",0.6483279278893316,0,2,42,2.0567781925201416,2.19895601272583,5.557403584010899,2.0321505069732666,0.8822633028030396,inf,0.0918613076210022,6084.087890625,0.2131003886461258,1.0982505083084106,262.9092612499371
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.1714285714285714,['y_lead_1'],0.9050352330593034,0,1,42,0.6605003476142883,0.8502253890037537,5.719725375063717,2.1520214080810547,0.887407124042511,inf,0.0924460813403129,6119.56005859375,0.2119448781013488,1.1154290437698364,462.7759813331068
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.5142857142857142,['y_lead_1'],0.5787754959386153,0,1,42,1.957323431968689,2.0564770698547363,5.703225125093013,2.143912076950073,0.8983610272407532,inf,0.0943484827876091,6195.09716796875,0.2145610302686691,1.1175885200500488,247.29671545908784
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0,[],0.0,0,0,42,0.3372617959976196,0.5230315923690796,5.601842791074887,3.927006721496582,1.14155113697052,inf,0.1271018534898758,7872.13671875,0.273862212896347,1.530653715133667,220.5718822919298
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.0,"['y_lead_1', 'y_lead_2']",1.0,0,2,42,0.1086864471435546,0.403870016336441,5.29657516698353,0.0016216689255088,0.0225788634270429,0.0025836713612079,0.0025678048841655,38.92596435546875,0.0056049944832921,0.0253332629799842,550.0825719998684
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.2571428571428571,"['y_lead_1', 'y_lead_2']",0.8173705894712557,0,2,42,1.1834840774536133,1.377149224281311,5.520830207969993,0.7425810694694519,0.5826864838600159,0.0624909363687038,0.0604178830981254,1004.5513916015624,0.1446465104818344,0.641651451587677,406.4751180000603
