input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.0,[],0.0,0,0,43,16.60291862487793,22.71872901916504,0.469915916910395,3365.971435546875,19.66091728210449,0.1924315989017486,0.1785603165626526,180959.078125,0.0430462770164012,23.90166664123535,35.55586045794189
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,3,M,12,1.65,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.498638888653059,0,3,42,229.15139770507807,294.3882141113281,0.4365887918975204,4721.48095703125,21.982187271118164,0.1958058327436447,0.17044697701931,50581.01171875,0.0486747585237026,24.23889923095703,19.81785466591828
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,1,M,12,0.2357142857142857,['y_lead_1'],0.9722271780071448,0,1,42,37.32381439208984,43.31394958496094,0.4389307501260191,2249.893310546875,14.57955265045166,0.1435980945825576,0.1360202729701995,11182.5166015625,0.031881209462881,14.57955265045166,20.667197375092652
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,3,M,12,0.0,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9999999999999876,0,3,42,6.773425579071045,18.26865768432617,0.3872079169377684,127.13175964355467,3.5720620155334477,0.0367074161767959,0.0342050641775131,8219.314453125,0.0079095521941781,3.848388910293579,39.45157429180108
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.0,[],0.0,0,0,44,16.250415802001953,26.355802536010746,0.4639002499170601,3227.853271484375,19.643404006958008,0.195671945810318,0.1802585124969482,180797.890625,0.0430079326033592,23.75836181640625,39.44346025004052
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.7071428571428571,['y_lead_1'],0.8078299542555525,0,1,42,83.7611083984375,94.55850219726562,0.4147715838626027,3893.0087890625,20.69328498840332,0.2025089710950851,0.1806553304195404,190461.0,0.0451529994606971,25.349018096923828,24.02997662499547
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,3,M,12,0.9428571428571428,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.7149685223597495,0,3,42,148.3555908203125,168.0812225341797,0.4076756669674068,3831.90869140625,20.435497283935547,0.1913951337337494,0.1676234453916549,47022.078125,0.0452499538660049,22.61333465576172,16.26262970897369
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,2,M,12,0.2357142857142857,"['y_lead_1', 'y_lead_2']",0.9722271780071448,0,2,42,43.04685592651367,49.743350982666016,0.4264780420344323,2969.6748046875,18.529247283935547,0.1829466372728347,0.1625188738107681,28423.865234375,0.0410916842520237,19.89372062683105,15.960549500072377
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.4714285714285714,"['y_lead_1', 'y_lead_2']",0.900141445631198,0,2,42,76.26725006103516,79.73031616210938,0.4514878329355269,4584.58154296875,21.71727752685547,0.2084288299083709,0.1809401512145996,199885.8125,0.0473088659346103,26.134014129638672,16.038060582941398
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,1.65,['y_lead_1'],0.498638888653059,0,1,42,160.31211853027344,213.74034118652344,0.492698207963258,5810.17626953125,23.1684627532959,0.2150629162788391,0.1838613152503967,213242.5,0.0505538582801818,27.91404914855957,21.204659708077088
